update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,reshaped_return_mean,reshaped_return_std,reshaped_return_min,reshaped_return_max,reshaped_return_bonus_mean,reshaped_return_bonus_std,reshaped_return_bonus_min,reshaped_return_bonus_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
271,5409,693760,72.44805714759757,9584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9284102439880373,0.0038264382295892575,0.00019359950474608925,7.996862541403971e-05,-0.019050518050789833,0.006745356135070324
272,5444,696320,72.5589690640461,9619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9293394595384599,0.0006234215656149899,0.00418153460486792,0.000231166671437677,-0.01499627623707056,0.007030781591311097
273,5455,698880,72.28773001718486,9654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.929777944087982,-0.00048661957844160493,0.00027277348035568136,0.0001174096673821623,-0.018966298550367355,0.00832228222861886
274,5469,701440,72.60340973091353,9690,0.0031005858909338713,0.024610137558019985,0.0,0.19843749701976776,0.015625,0.06201171875,0.4922027585525435,0.0,3.96875,0.0,0.0,0.0,0.0,127.78125,1.7362742978861376,114.0,128.0,1.9322112768888475,0.02276424109004438,-0.03405087131231994,0.09957197442709004,-0.0035869963467121124,0.09792331978678703
275,5480,704000,72.50691353198238,9725,0.0031005858909338713,0.024610137558019985,0.0,0.19843749701976776,0.015625,0.06201171875,0.4922027585525435,0.0,3.96875,0.0,0.0,0.0,0.0,127.78125,1.7362742978861376,114.0,128.0,1.9340684980154037,0.03981988914310932,0.006137288379250094,0.0007965315213368739,-0.012805130332708359,0.038465118035674095
276,5514,706560,72.5469811746667,9760,0.004992675734683871,0.028626315638178523,0.0,0.19843749701976776,0.03125,0.099853515625,0.572526319057064,0.0,3.96875,0.0,0.0,0.0,0.0,127.734375,1.7699063137282154,114.0,128.0,1.9342686712741852,0.030501068662852047,0.00517487947945483,0.011170328821572184,-0.00858264253474772,0.01823837123811245
277,5532,709120,72.85551683272784,9795,0.00189208984375,0.015017997554260677,0.0,0.12109375,0.015625,0.037841796875,0.3003599510852135,0.0,2.421875,0.0,0.0,0.0,0.0,127.953125,0.37205877811845806,125.0,128.0,1.9345656991004945,0.023940664250403643,0.007081092716543935,0.00028127429613959974,-0.012123926542699337,0.008362913271412253
278,5542,711680,72.70319195409806,9831,0.00189208984375,0.015017997554260677,0.0,0.12109375,0.015625,0.037841796875,0.3003599510852135,0.0,2.421875,0.0,0.0,0.0,0.0,127.953125,0.37205877811845806,125.0,128.0,1.9346365302801132,0.018064059410244228,0.0046674476645421235,0.00018522477239457658,-0.014586304314434528,0.009496429469436407
279,5575,714240,72.67974412934247,9866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9352493464946745,0.012107914756052196,0.00531816896982491,0.0002765745143733511,-0.013896036427468061,0.005583739606663585
280,5593,716800,72.67716882709642,9901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9350992679595946,0.007773782429285348,0.004061532423656899,0.00014308896752481817,-0.015217912383377552,0.006996573181822896
281,5605,719360,72.81393748649202,9936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.935726025700569,0.003433096039225347,0.0012256720459845384,3.4600078470248265e-05,-0.01811428740620613,0.002935629105195403
282,5638,721920,72.9546384749271,9971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9357171267271043,0.0019690210683620535,0.002174272925913101,0.00016768775312812068,-0.01709905546158552,0.005287265172228217
283,5653,724480,72.42155101279013,10007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.935683485865593,0.0016581908479565755,-0.00011089774670836055,7.539409284618159e-05,-0.01943003572523594,0.002794766682200134
284,5668,727040,72.0874615314375,10042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9361908972263335,0.0013986761288833803,0.0002861884437152185,4.814823755623365e-05,-0.019051644019782543,0.003426607116125524
285,5700,729600,72.54442164383404,10077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9365765511989594,0.002979770187812392,-0.0002400812441919697,0.00022567479172721505,-0.01949300803244114,0.005776207894086838
286,5714,732160,72.68510685340382,10113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.937011855840683,0.0022672908278764227,0.0026417934030178005,4.624853036148125e-05,-0.01670520007610321,0.006829628953710198
287,5730,734720,72.61023421436924,10148,0.009472656063735485,0.07518687659967631,0.0,0.606249988079071,0.015625,0.189453125,1.5037375615621014,0.0,12.125,0.0,0.0,0.0,0.0,126.875,8.929410674842993,56.0,128.0,1.937555468082428,0.06455350536853074,-0.12649178655919968,1.07463377029635,0.39144952967762947,0.18787764757871628
288,5765,737280,72.52114173697275,10183,0.009472656063735485,0.07518687659967632,0.0,0.606249988079071,0.015625,0.189453125,1.5037375615621014,0.0,12.125,0.0,0.0,0.0,0.0,126.875,8.929410674842993,56.0,128.0,1.9364178657531737,0.06338730761781335,0.03410578016191721,0.0036374062998220324,0.01656030584126711,0.0664520151913166
